match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1457231,Thailand,Bhutan,Thailand,Thailand,bat,"West End Park International Cricket Stadium, Doha",Doha,2024-11-25,male
1443788,Czech Republic,Estonia,Estonia,Estonia,field,"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,2024-08-28,male
1310181,Bulgaria,Romania,Romania,Bulgaria,bat,Marsa Sports Club,Marsa,2022-05-13,male
1459385,Ivory Coast,Eswatini,Eswatini,Ivory Coast,bat,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,2024-11-27,male
1498663,Netherlands,Bangladesh,Bangladesh,Bangladesh,field,Sylhet International Cricket Stadium,Sylhet,2025-09-01,male
1514474,Spain,Croatia,Spain,Spain,bat,La Manga Club Top Ground,Murcia,2025-12-06,male
1407090,Tanzania,Uganda,Uganda,Uganda,field,"Wanderers Cricket Ground, Windhoek",Windhoek,2023-11-22,male
1321263,Isle of Man,Serbia,Isle of Man,Serbia,field,Tikkurila Cricket Ground,Vantaa,2022-07-13,male
1462893,Bahamas,Panama,Bahamas,Bahamas,bat,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,2024-12-11,male
1443767,Bulgaria,Guernsey,Guernsey,Bulgaria,bat,"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,2024-08-21,male
1273722,Ireland,Namibia,Namibia,Ireland,bat,Sharjah Cricket Stadium,Sharjah,2021-10-22,male
1359802,Argentina,Cayman Islands,Cayman Islands,Argentina,bat,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,2023-03-04,male
1303312,New Zealand,Ireland,New Zealand,Ireland,field,"Civil Service Cricket Club, Stormont, Belfast",Belfast,2022-07-18,male
1490480,Italy,Netherlands,Netherlands,Italy,bat,"Sportpark Westvliet, Voorburg",The Hague,2025-07-11,male
682937,Netherlands,South Africa,South Africa,Netherlands,field,Zahur Ahmed Chowdhury Stadium,Chittagong,2014-03-27,male
1512723,England,Nepal,England,England,bat,"Wankhede Stadium, Mumbai",Mumbai,2026-02-08,male
1513831,Thailand,Malaysia,Malaysia,Malaysia,field,"Terdthai Cricket Ground, Bangkok",Bangkok,2025-12-12,male
1349382,Bahrain,Qatar,Bahrain,Qatar,field,"UKM-YSD Cricket Oval, Bangi",Bangi,2022-12-18,male
875513,Nepal,Papua New Guinea,Papua New Guinea,Papua New Guinea,field,"The Village, Malahide",Dublin,2015-07-17,male
